tag,title,author,publisher,pub_date,price,rating,rating_people,url
小说,无人生还,[英] 阿加莎·克里斯蒂,新星出版社,2016-8,35.00元,8.8,35733,https://book.douban.com/subject/26840298/
小说,西线无战事,[德] 埃里希·玛丽亚·雷马克,上海文艺出版社,2021-1,49.00元,9.4,31952,https://book.douban.com/subject/35272817/
小说,强风吹拂,[日] 三浦紫苑,广西师范大学出版社,2015-1-1,39.00元,9.0,35523,https://book.douban.com/subject/26210487/
小说,鹅之书,[美] 李翊云,上海译文出版社,2025-10-14,72.00元,8.3,3550,https://book.douban.com/subject/37374594/
小说,ABC谋杀案,[英] 阿加莎·克里斯蒂、[英] 阿加莎·克里斯蒂 (Dame Agatha Christie),新星出版社,2013-6,28.00元,8.5,36672,https://book.douban.com/subject/24737009/
小说,1984,[英] 乔治·奥威尔,北京十月文艺出版社,2010-4-1,28.00,9.4,312350,https://book.douban.com/subject/4820710/
小说,克莱因壶,[日] 冈岛二人,化学工业出版社,2019-9,48.00元,8.8,88833,https://book.douban.com/subject/33658616/
小说,我的天才朋友,[瑞典] 弗雷德里克·巴克曼,天津人民出版社,2026-1,59,8.3,863,https://book.douban.com/subject/37818738/
小说,三体Ⅱ,刘慈欣,重庆出版社,2008-5,32.00,9.3,317118,https://book.douban.com/subject/3066477/
小说,变形记,[奥地利] 弗朗茨·卡夫卡,北京燕山出版社,2020-1-1,45.00,9.2,24846,https://book.douban.com/subject/35218475/
小说,只剩你一个,[美] 赖利·塞杰,北京联合出版公司,2026-1,65,7.7,1562,https://book.douban.com/subject/37648911/
小说,神乐坂怪谈,[日]芦泽央,江苏凤凰文艺出版社,2026-1,45.00元,7.0,461,https://book.douban.com/subject/37800340/
小说,一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,35.00元,9.1,81837,https://book.douban.com/subject/26672693/
小说,里斯本围城记,[葡] 若泽·萨拉马戈,河南文艺出版社,2026-4-18,75,8.0,97,https://book.douban.com/subject/37522082/
小说,察金,[俄] 叶夫根尼·沃多拉兹金,湖南文艺出版社,2026-4,69.80元,8.8,81,https://book.douban.com/subject/38223594/
小说,侦破我的命案,[美] 克丽丝滕·佩林,北京联合出版公司,2026-5,59.8,7.2,135,https://book.douban.com/subject/37890098/
小说,双天至尊,马家辉,新星出版社,2026-5,68.00元,9.2,109,https://book.douban.com/subject/38395128/
小说,朱砂掌,郑执,新星出版社,2026-6,59.00元,7.4,182,https://book.douban.com/subject/37407955/
小说,黄金时代,王小波,北京十月文艺出版社,2017-4,35.00元,8.6,30254,https://book.douban.com/subject/27013741/
小说,饺子,李碧华,新星出版社,2013-11,49,8.2,24630,https://book.douban.com/subject/25737044/
小说,夜泳,胡安焉,湖南文艺出版社,2026-5,59.00,8.4,67,https://book.douban.com/subject/38377499/
小说,呼兰河传,萧红,江西人民出版社,2019-7-1,39.00元,9.1,23358,https://book.douban.com/subject/34451656/
小说,燕食记,葛亮,人民文学出版社,2022-8,78,8.4,12248,https://book.douban.com/subject/36021908/
小说,长日将尽,[英] 石黑一雄,上海译文出版社,2020-6,58,8.8,4627,https://book.douban.com/subject/35069479/
小说,怨女,张爱玲,北京十月文艺出版社,2019-3,55.00元,8.7,5647,https://book.douban.com/subject/30302905/
小说,台北人,白先勇,广西师范大学出版社,2015-1,48.00,9.1,28874,https://book.douban.com/subject/26253699/
小说,包法利夫人,福楼拜,人民文学出版社,2003-1-1,CNY 28.00,9.1,35786,https://book.douban.com/subject/25897678/
小说,十日终焉·囚笼,杀虫队队员,江苏凤凰文艺出版社,2023-10,46.80元,7.7,6275,https://book.douban.com/subject/36573581/
小说,蝲蛄吟唱的地方,[美] 迪莉娅·欧文斯,湖南文艺出版社,2019-10,58.00元,8.7,24520,https://book.douban.com/subject/34813209/
小说,大地之上,[加拿大]罗欣顿·米斯特里,天地出版社,2021-6,98,9.4,6020,https://book.douban.com/subject/35268657/
小说,沧城,阿措,云南人民出版社,2025-2,59.8元,8.5,4179,https://book.douban.com/subject/37212430/
小说,蟫,崔欣,上海文艺出版社,2025-12-1,66.00元,8.5,942,https://book.douban.com/subject/37830736/
小说,黄色墙纸,[美] 夏洛特·珀金斯·吉尔曼,太白文艺出版社,2025-11,49.80元,8.3,1264,https://book.douban.com/subject/37663131/
小说,一个女人一生中的二十四小时,斯蒂芬·茨威格,江苏凤凰文艺出版社,2025-9-19,39.8,8.5,7720,https://book.douban.com/subject/37482433/
小说,球状闪电,刘慈欣,四川科学技术出版社,2005-6,22.00元,8.7,96713,https://book.douban.com/subject/1192090/
小说,月亮与六便士,[英] 威廉·萨默塞特·毛姆,浙江文艺出版社,2017-1-1,39.80元,8.7,233732,https://book.douban.com/subject/26954760/
小说,隐墙,[奥地利] 玛尔伦·豪斯霍费尔,北京联合出版公司,2024-3,52.00元,8.7,5209,https://book.douban.com/subject/36698238/
小说,哈利·波特,J.K.罗琳 (J.K.Rowling),人民文学出版社,2008-12-1,498.00元,9.7,136699,https://book.douban.com/subject/24531956/
小说,幸福蒙太奇,马凌云,文汇出版社,2026-4,59.80元,7.7,461,https://book.douban.com/subject/37841159/
小说,繁花,金宇澄,上海文艺出版社,2013-3,48.00元,8.6,46297,https://book.douban.com/subject/22714154/
小说,斯通纳,[美] 约翰·威廉斯,上海人民出版社,2016-1,49.00元,8.8,71945,https://book.douban.com/subject/26425831/
小说,如果我们无法以光速前行,[韩] 金草叶,四川科学技术出版社,2022-6,42.00元,8.5,11920,https://book.douban.com/subject/35802914/
小说,傲慢与偏见,[英国] 简·奥斯丁,译林出版社,2010-6-1,18.50元,9.0,44226,https://book.douban.com/subject/4881639/
小说,方舟,[日] 夕木春央,中国友谊出版公司,2025-1,59,7.8,11497,https://book.douban.com/subject/36832093/
小说,克林索尔的最后夏天,[德] 赫尔曼·黑塞,陕西师范大学出版总社有限公司,2026-4-1,34.00元,7.8,128,https://book.douban.com/subject/38394122/
小说,她与她与她,竞天泽,竞天泽,江苏凤凰文艺出版社,2026-3,6.8,388,https://book.douban.com/subject/37666981/
小说,简单的激情,[法] 安妮·埃尔诺,上海人民出版社,2023-7-31,45.00元,8.4,13669,https://book.douban.com/subject/36429692/
小说,白鹿原,陈忠实,作家出版社,2017-4-1,38.00元,9.2,9238,https://book.douban.com/subject/27047454/
小说,Project Hail Mary,Andy Weir,Andy Weir,Penguin Random House,2021-5-4,9.1,1568,https://book.douban.com/subject/35171006/
小说,红楼梦,[清] 曹雪芹 著、高鹗,人民文学出版社,1996-12,59.70元,9.7,464571,https://book.douban.com/subject/1007305/
小说,阴郁之人的晴朗之地,[阿根廷] 玛丽安娜·恩里克斯,北京联合出版公司,2026-3,62.00元,8.0,263,https://book.douban.com/subject/37664036/
小说,焦虑的人,弗雷德里克·巴克曼,天津人民出版社,2021-8,49.8,8.5,22349,https://book.douban.com/subject/35539713/
小说,圣母,[日] 秋吉理香子,新星出版社,2019-3,42.00元,8.1,81062,https://book.douban.com/subject/30475757/
小说,德米安,[德] 赫尔曼·黑塞,天津人民出版社,2020-5,58.00元,8.9,21693,https://book.douban.com/subject/35060088/
小说,台北人,白先勇,广西师范大学出版社,2010-10,38.00元,9.0,84385,https://book.douban.com/subject/5337248/
小说,世界上最透明的故事,[日] 杉井光,北京联合出版公司,2026-3,45.00,5.5,610,https://book.douban.com/subject/37808522/
小说,动物园,[日本] 乙一,人民文学出版社,2016-8-1,49.80,8.1,39978,https://book.douban.com/subject/26723423/
小说,你一生的故事,[美] 特德·姜,译林出版社,2015-5,36.00元,8.7,41008,https://book.douban.com/subject/26295448/
小说,骆驼祥子,老舍,人民文学出版社,1962-10-1,12.00元,8.6,227046,https://book.douban.com/subject/1043815/
小说,索拉里斯星,[波] 斯坦尼斯瓦夫·莱姆,译林出版社,2021-8,49.00,8.5,33556,https://book.douban.com/subject/35049755/
小说,奇风岁月,[美] 罗伯特·麦卡蒙,译林出版社,2011-5,36.00元,8.9,18152,https://book.douban.com/subject/6016234/
小说,动物农场,[英]乔治·奥威尔,上海译文出版社,2010-9,22.00元,9.5,81611,https://book.douban.com/subject/4908879/
小说,呼啸山庄,[英] 艾米莉·勃朗特,浙江文艺出版社,2026-3-3,69.8,7.6,1035,https://book.douban.com/subject/30471282/
小说,占星术杀人魔法,[日] 岛田庄司,新星出版社,2012-5,28.00元,8.3,32265,https://book.douban.com/subject/10740776/
小说,丰乳肥臀,莫言,浙江文艺出版社,2017-1,49.00,8.8,27039,https://book.douban.com/subject/26904658/
